1703682909	0.000	0.000	0.630	-158.600
1703682910	-0.061	-0.061	0.630	-158.686
1703682911	-0.065	-0.055	0.630	-158.681
1703682912	-0.062	-0.057	0.630	-158.693
1703682913	-0.065	-0.058	0.630	-158.687
1703682914	-0.068	-0.058	0.630	-158.706
1703682915	-0.065	-0.058	0.630	-158.683
1703682916	-0.063	-0.058	0.630	-158.700
1703682917	-0.068	-0.055	0.630	-158.681
1703682918	-0.064	-0.055	0.630	-158.737
1703682919	-0.066	-0.060	0.630	-158.680
1703682920	-0.064	-0.056	0.630	-158.694
1703682921	-0.067	-0.058	0.630	-158.712
1703682922	-0.069	-0.058	0.630	-158.678
1703682923	-0.067	-0.056	0.630	-158.692
1703682924	-0.069	-0.060	0.630	-158.686
1703682925	-0.076	-0.121	0.630	-158.915
1703682926	-0.329	-1.019	0.630	-181.354
1703682927	-0.059	-1.664	0.630	-196.612
1703682928	-0.280	-2.673	0.630	-149.455
1703682929	-0.854	-3.720	0.630	-148.068
1703682930	-1.348	-4.602	0.630	-148.234
1703682931	-1.960	-5.625	0.630	-141.245
1703682932	-2.846	-5.954	0.630	-67.289
1703682933	-3.834	-5.426	0.630	-54.831
1703682934	-4.387	-4.462	0.630	-11.127
1703682935	-4.126	-3.278	0.630	-332.090
1703682936	-3.413	-2.094	0.630	-326.778
1703682937	-2.605	-0.893	0.630	-318.888
1703682938	-1.654	0.249	0.630	-321.550
1703682939	-0.839	1.463	0.630	-324.949
1703682940	0.013	2.646	0.630	-323.491
1703682941	1.143	3.500	0.630	-273.214
1703682942	1.581	2.850	0.630	-213.719
1703682943	2.151	1.720	0.630	-157.717
1703682944	1.262	1.142	0.630	-127.559
1703682945	0.245	0.275	0.630	-155.650
1703682946	0.523	-1.028	0.630	-206.084
1703682947	0.925	-2.065	0.630	-158.186
1703682948	-0.012	-2.505	0.630	-64.867
1703682949	-1.000	-1.651	0.630	-35.491
1703682950	-1.722	-0.648	0.630	-33.416
1703682951	-2.232	0.471	0.630	-17.250
1703682952	-2.779	1.705	0.630	-26.679
1703682953	-3.397	2.667	0.630	-34.893
1703682954	-4.261	3.709	0.630	-39.848
1703682955	-5.097	4.688	0.630	-37.642
1703682956	-5.980	5.736	0.630	-42.178
1703682957	-6.906	6.630	0.630	-44.536
1703682958	-7.802	7.614	0.630	-38.231
1703682959	-8.619	8.603	0.630	-37.377
1703682960	-9.578	9.735	0.630	-40.575
1703682961	-10.525	10.751	0.630	-41.836
1703682962	-11.140	11.702	0.630	-9.608
1703682963	-10.846	12.394	0.630	-296.897
1703682964	-10.130	12.157	0.630	-213.874
1703682965	-9.801	11.438	0.630	-203.742
1703682966	-9.093	10.468	0.630	-220.666
1703682967	-8.453	9.599	0.630	-207.687
1703682968	-7.893	8.674	0.630	-209.934
1703682969	-7.186	7.808	0.630	-219.904
1703682970	-6.484	7.039	0.630	-214.043
1703682971	-5.950	5.962	0.630	-213.073
1703682972	-5.146	5.145	0.630	-221.457
1703682973	-4.586	4.281	0.630	-209.030
1703682974	-3.980	3.497	0.630	-213.462
1703682975	-3.930	3.375	0.630	-214.236
1703682976	-3.924	3.375	0.630	-214.222
1703682977	-3.923	3.372	0.630	-214.197
1703682978	-3.931	3.369	0.630	-214.214
1703682979	-3.926	3.372	0.630	-214.210
